npts,nTriMax,totalRuntime,seed,distribution,
100,201,0.057244,0,0,
100,201,0.055541,0,1,
100,201,0.054447,0,2,
100,201,0.057368,0,3,
200,401,0.163210,0,0,
200,401,0.150768,0,1,
200,401,0.153494,0,2,
200,401,0.162694,0,3,
400,801,0.580919,0,0,
400,801,0.578182,0,1,
400,801,0.586282,0,2,
400,801,0.607171,0,3,
800,1601,2.268084,0,0,
800,1601,2.401174,0,1,
800,1601,2.273529,0,2,
800,1601,2.393624,0,3,
1600,3201,9.618025,0,0,
1600,3201,9.715548,0,1,
1600,3201,9.417838,0,2,
1600,3201,9.510309,0,3,
3200,6401,38.167240,0,0,
3200,6401,39.359131,0,1,
3200,6401,38.514889,0,2,
3200,6401,39.182320,0,3,
6400,12801,151.842773,0,0,
6400,12801,151.136642,0,1,
6400,12801,152.793030,0,2,
6400,12801,153.624969,0,3,
100,201,0.033387,1,0,
100,201,0.055782,1,1,
100,201,0.055768,1,2,
100,201,0.057465,1,3,
200,401,0.166275,1,0,
200,401,0.145292,1,1,
200,401,0.157275,1,2,
200,401,0.175524,1,3,
400,801,0.601861,1,0,
400,801,0.571365,1,1,
400,801,0.576253,1,2,
400,801,0.610949,1,3,
800,1601,2.330334,1,0,
800,1601,2.337113,1,1,
800,1601,2.331643,1,2,
800,1601,2.420345,1,3,
1600,3201,9.552763,1,0,
1600,3201,9.801403,1,1,
1600,3201,9.629759,1,2,
1600,3201,9.714565,1,3,
3200,6401,38.233204,1,0,
3200,6401,39.572144,1,1,
3200,6401,38.978127,1,2,
3200,6401,39.746223,1,3,
6400,12801,156.705658,1,0,
6400,12801,155.916550,1,1,
6400,12801,151.798630,1,2,
6400,12801,155.503098,1,3,
100,201,0.036344,2,0,
100,201,0.058905,2,1,
100,201,0.058609,2,2,
100,201,0.057594,2,3,
200,401,0.167038,2,0,
200,401,0.159523,2,1,
200,401,0.161143,2,2,
200,401,0.168953,2,3,
400,801,0.588709,2,0,
400,801,0.578558,2,1,
400,801,0.561006,2,2,
400,801,0.606220,2,3,
800,1601,2.312025,2,0,
800,1601,2.262834,2,1,
800,1601,2.444210,2,2,
800,1601,2.388737,2,3,
1600,3201,9.698151,2,0,
1600,3201,9.440523,2,1,
1600,3201,9.458688,2,2,
1600,3201,9.244044,2,3,
3200,6401,40.485825,2,0,
3200,6401,38.992928,2,1,
3200,6401,38.767467,2,2,
3200,6401,39.325279,2,3,
6400,12801,150.777725,2,0,
6400,12801,157.578827,2,1,
6400,12801,156.560257,2,2,
6400,12801,157.728409,2,3,
100,201,0.035727,3,0,
100,201,0.058889,3,1,
100,201,0.057155,3,2,
100,201,0.060393,3,3,
200,401,0.160013,3,0,
200,401,0.166426,3,1,
200,401,0.162501,3,2,
200,401,0.172462,3,3,
400,801,0.591781,3,0,
400,801,0.612432,3,1,
400,801,0.603339,3,2,
400,801,0.619090,3,3,
800,1601,2.371523,3,0,
800,1601,2.380941,3,1,
800,1601,2.337543,3,2,
800,1601,2.450657,3,3,
1600,3201,9.866958,3,0,
1600,3201,9.643829,3,1,
1600,3201,9.709063,3,2,
1600,3201,9.779721,3,3,
3200,6401,38.399654,3,0,
3200,6401,38.502285,3,1,
3200,6401,38.621819,3,2,
3200,6401,38.780579,3,3,
6400,12801,153.393631,3,0,
6400,12801,151.383804,3,1,
6400,12801,149.908676,3,2,
6400,12801,152.323898,3,3,
100,201,0.032473,4,0,
100,201,0.056646,4,1,
100,201,0.054445,4,2,
100,201,0.058351,4,3,
200,401,0.160973,4,0,
200,401,0.165862,4,1,
200,401,0.164530,4,2,
200,401,0.166323,4,3,
400,801,0.585244,4,0,
400,801,0.585574,4,1,
400,801,0.586224,4,2,
400,801,0.565696,4,3,
800,1601,2.334494,4,0,
800,1601,2.304073,4,1,
800,1601,2.303121,4,2,
800,1601,2.392661,4,3,
1600,3201,9.605633,4,0,
1600,3201,9.622689,4,1,
1600,3201,9.684809,4,2,
1600,3201,9.907775,4,3,
3200,6401,39.255745,4,0,
3200,6401,38.122070,4,1,
3200,6401,39.397072,4,2,
3200,6401,39.299217,4,3,
6400,12801,154.378250,4,0,
6400,12801,157.313217,4,1,
6400,12801,152.141586,4,2,
6400,12801,158.876617,4,3,
